Unit_ID,Option_Group_ID,Group_Label,Option_ID,Option_Name,Weapon_IDs,Default,Sort_Order,Legacy_Unit_IDs,Preserve_Weapon_IDs,Compatible_With
DEATHWING_KNIGHTS,KNIGHT_MASTER_MELEE,Knight Master Weapon,DEATHWING_GREAT_WEAPON,Great Weapon of the Unforgiven,GREAT_WEAPON_OF_THE_UNFORGIVEN,TRUE,1,,,
DEATHWING_KNIGHTS,KNIGHT_MASTER_MELEE,Knight Master Weapon,DEATHWING_RELIC_WEAPON,Relic Weapon,RELIC_WEAPON_KNIGHTS,FALSE,2,,,
DEATHWING_KNIGHTS,KNIGHTS_MELEE,Deathwing Knights Weapon,DEATHWING_MACE_OF_ABSOLUTION,Mace of Absolution,MACE_OF_ABSOLUTION,TRUE,1,,,
DEATHWING_KNIGHTS,KNIGHTS_MELEE,Deathwing Knights Weapon,DEATHWING_POWER_WEAPON,Power Weapon,POWER_WEAPON_KNIGHTS,FALSE,2,,,
DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_CYCLONE,Cyclone Missile Launcher,"CYCLONE_MISSLINE_FRAG, CYCLONE_MISSLINE_KRAK",TRUE,1,,,
DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_ASSAULT_CANNON,Assault Cannon,ASSAULT_CANNON_DEATHWING_TERMINATORS,FALSE,2,,,
DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_HEAVY_FLAMER,Heavy Flamer,HEAVY_FLAMER_DEATHWING_TERMINATORS,FALSE,3,,,
DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_PLASMA_CANNON,Plasma Cannon,"PLASMA_CANNON_STANDARD_DEATHWING_TERMINATORS, PLASMA_CANNON_SUPERCHARGE_DEATHWING_TERMINATORS",FALSE,4,,,
DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_NONE,None,,FALSE,5,,,
DEATHWING_TERMINATORS,MELEE_DWT,Terminator Melee,DWT_POWER_FIST,Power Fist,POWER_FIST_TERMINATORS,TRUE,1,,,
DEATHWING_TERMINATORS,MELEE_DWT,Terminator Melee,DWT_CHAINFIST,Chainfist,CHAINFIST,FALSE,2,,,
DEATHWING_TERMINATORS,MELEE_DWT,Terminator Melee,DWT_MIXED_FISTS,Power Fist + Chainfist,"POWER_FIST_TERMINATORS, CHAINFIST",FALSE,3,,,
INVADER_ATV,MAIN_GUN_INVADER_ATV,Main Gun,INVADER_ATV_GATLING,Onslaught Gatling Cannon,ONSLAUGHT_GATLING_CANNON,TRUE,1,INVADER_ATV_GATTLING_CANNON,,
INVADER_ATV,MAIN_GUN_INVADER_ATV,Main Gun,INVADER_ATV_MULTI_MELTA,Multi-melta,MULTI_MELTA_ATV,FALSE,2,INVADER_ATV_MELTA,,
INVICTOR_TACTICAL_WARSUIT,MAIN_GUN_INVICTOR,Main Gun,INVICTOR_INCENDIUM_CANNON,Incendium Cannon,INCENDIUM_CANNON,TRUE,1,INVICTOR_FLAMER,,
INVICTOR_TACTICAL_WARSUIT,MAIN_GUN_INVICTOR,Main Gun,INVICTOR_TWIN_IRONHAIL_AUTOCANNON,Twin Ironhail Autocannon,TWIN_IRONHAIL_AUTOCANNON,FALSE,2,INVICTOR_AUTOCANNON,,
CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,Ranged Weapon,CAPTAIN_JUMP_HBP,Heavy Bolt Pistol,CAPTAIN_JUMP_HEAVY_BOLT_PISTOL,TRUE,1,,,
CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,Ranged Weapon,CAPTAIN_JUMP_PLASMA,Plasma Pistol,"CAPTAIN_JUMP_PLASMA_PISTOL_STANDARD, CAPTAIN_JUMP_PLASMA_PISTOL_SUPERCHARGE",FALSE,2,,,
CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,Ranged Weapon,CAPTAIN_JUMP_FLAMER,Hand Flamer,CAPTAIN_JUMP_HAND_FLAMER,FALSE,3,,,
CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_MELEE,Melee Weapon,CAPTAIN_JUMP_CHAIN,Astartes Chainsword,CAPTAIN_JUMP_ASTARTES_CHAINSWORD,TRUE,1,,,
CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_MELEE,Melee Weapon,CAPTAIN_JUMP_FIST,Power Fist,CAPTAIN_JUMP_POWER_FIST,FALSE,2,,,
CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_MELEE,Melee Weapon,CAPTAIN_JUMP_RELIC,Relic Weapon,CAPTAIN_JUMP_RELIC_WEAPON,FALSE,3,,,
CAPTAIN_WITH_JUMP_PACK_HAMMER_SHIELD,CAPTAIN_JUMP_SHIELD_LOADOUT,Shield Loadout,CAPTAIN_JUMP_SHIELD_CHAIN,Heavy Bolt Pistol + Astartes Chainsword,"CAPTAIN_JUMP_HEAVY_BOLT_PISTOL, CAPTAIN_JUMP_ASTARTES_CHAINSWORD",TRUE,1,,,
CAPTAIN_WITH_JUMP_PACK_HAMMER_SHIELD,CAPTAIN_JUMP_SHIELD_LOADOUT,Shield Loadout,CAPTAIN_JUMP_SHIELD_HAMMER,Thunder Hammer,CAPTAIN_JUMP_THUNDER_HAMMER,FALSE,2,,,
CAPTAIN_FIST_PLASMA,CAPTAIN_LOADOUT,Loadout,CAPTAIN_DEFAULT,Bolt Pistol + Master-crafted Bolter + Close Combat Weapon,"CAPTAIN_BOLT_PISTOL, CAPTAIN_MASTER_CRAFTED_BOLTER, CAPTAIN_CLOSE_COMBAT_WEAPON",TRUE,1,,,
CAPTAIN_FIST_PLASMA,CAPTAIN_LOADOUT,Loadout,CAPTAIN_BOLTER_POWER_WEAPON,Bolt Pistol + Master-crafted Bolter + Master-crafted Power Weapon,"CAPTAIN_BOLT_PISTOL, CAPTAIN_MASTER_CRAFTED_BOLTER, CAPTAIN_MASTER_CRAFTED_POWER_WEAPON",FALSE,2,,,
