Detachment_ID,Army_Name,Detachment_Name,Item_Type,Item_ID,Item_Name,Points,CP_Cost,DP_Cost,Detachment_Disposition,Short_Description,Long_Description
orks_war_horde,Orks,War Horde,ARMY_RULE,orks_war_horde_army_rule_waaagh,WAAAGH!,,,,,"Re-roll Advances; Riled Up (5+ InSv, [ASSAULT] on ranged, Advance & Charge). War Cry: once/battle activate Riled Up until end of next turn.","Friendly ORKS units with this ability can:
• Re-roll advance rolls.
• Become riled up, as stated in other rules.

While a unit is riled up:
• That unit has 5+ InSv.
• That unit’s ranged attacks have [ASSAULT].
• When that unit is selected to make an advance move, that advance move does not prevent that unit from being eligible to declare a charge.

War Cry (Once per battle, per army): At the start of the Command phase, you can use this ability. If you do, friendly ORKS units with the Waaagh! ability are riled up until the end of the next turn."
orks_war_horde,Orks,War Horde,DETACHMENT_RULE,orks_war_horde_detachment_rule_get_stuck_in,GET STUCK IN,,,3,Take and Hold,Friendly ORKS melee attacks have [SUSTAINED HITS 1].,"Joyously anarchic and recklessly destructive, all Orks eagerly get stuck in to every fight.Friendly ORKS units' melee attacks have [SUSTAINED HITS 1]."
orks_war_horde,,War Horde,ENHANCEMENT,orks_war_horde_enhancement_headwoppas_killchoppa,HEADWOPPA'S KILLCHOPPA,20,,,,"ORKS model only. If this unit charged this turn, this model’s melee attacks have +1 AP.","Tribal legend speaks of a blood-slick choppa once owned by Grand Warboss Headwoppa – last seen charging headlong into a horde of daemons – that turns up occasionally across the galaxy in different forms. Though it looks normal, a dark voice is said to growl in the mind of the weapon’s wielder, driving them on to ever greater excesses of violence.ORKS model only. If this unit made a charge move this turn, this model's melee attacks have +1 AP."
orks_war_horde,,War Horde,ENHANCEMENT,orks_war_horde_enhancement_da_boss_is_watchin,DA BOSS IS WATCHIN',15,,,,"ORKS model only. Once per battle, per army: in your Movement phase, this unit is riled up until the start of your next turn.","This war leader is a glowering incarnation of violence, his brutality so contagious that when he bellows his blind fury and releases his pent-up aggression, Orks nearby are excitedly swept along with him.ORKS model only. (Once per battle, per army) In your Movement phase, you can use this ability. If you do, this unit is riled up until the start of your next turn."
orks_war_horde,,War Horde,ENHANCEMENT,orks_war_horde_enhancement_kunnin_but_brutal,KUNNIN' BUT BRUTAL,15,,,,ORKS model only. Fall Back does not prevent this unit from shooting or charging.,"Feigning weakness, this Ork allows his foes to think he’s legging it before suddenly piling back into the fight and delivering a brutal flurry of attacks.ORKS model only. When this unit is selected to make a fall-back move, that fall-back move does not prevent this unit from being eligible to shoot/declare a charge."
orks_war_horde,,War Horde,ENHANCEMENT,orks_war_horde_enhancement_follow_me_ladz,FOLLOW ME LADZ,25,,,,"ORKS model only. This unit has +2"" M.","Always found at the forefront of an assault, this Ork likes to be the first into the fray with his mob close on his heels to join in the violence.ORKS model only. This unit has +2"" M."
orks_war_horde,,War Horde,STRATAGEM,orks_war_horde_stratagem_breakin_heads_1cp,BREAKIN' HEADS,,1,,,Any phase: attached ORKS INFANTRY that becomes Battle-shocked takes D3 MW and is no longer Battle-shocked.,"WHEN: Any phase, when a friendly attached ORKS INFANTRY unit becomes battle-shocked.

TARGET: That ORKS INFANTRY unit. You can target that unit with this stratagem even though it is battle-shocked.

EFFECT: Roll one D3:
• Your unit suffers a number of mortal wounds equal to the result.
• Your unit is no longer battle-shocked."
orks_war_horde,,War Horde,STRATAGEM,orks_war_horde_stratagem_hit_em_harder_1cp,HIT 'EM HARDER,,1,,,Fight: ORKS unit’s melee attacks gain [LETHAL HITS].,"WHEN: Fight phase, when a friendly ORKS unit is selected to fight.

TARGET: That ORKS unit.

EFFECT: Your unit's melee attacks have [LETHAL HITS]."
orks_war_horde,,War Horde,STRATAGEM,orks_war_horde_stratagem_orks_is_never_beaten_1cp,ORKS IS NEVER BEATEN,,1,,,Fight: non-TITANIC ORKS models fight-on-death on 4+ (3+ if riled up).,"WHEN: Fight phase, when an enemy unit targets a friendly ORKS unit (excluding TITANIC units).

TARGET: That ORKS unit.

EFFECT: When a model in your unit is destroyed, if your unit has not been selected to fight this phase, roll one D6, with +1 to that roll if your unit is riled up.
• On a 4+, do not remove that model from the battlefield. When your unit has fought, or at the end of the phase (whichever comes first), that model is removed from the battlefield."
orks_war_horde,,War Horde,STRATAGEM,orks_war_horde_stratagem_mow_em_down_1cp,MOW 'EM DOWN,,1,,,Fight: charging non-WALKER ORKS VEHICLE melee gains [CLEAVE 1] (or +1 CLEAVE).,"WHEN: Fight phase, when a friendly ORKS VEHICLE unit (excluding WALKER units) that made a charge move this turn is selected to fight.

TARGET: That ORKS VEHICLE unit.

EFFECT: Your unit's melee attacks have:
• [CLEAVE 1]
• Or if that attack already has [CLEAVE], +1 to the value of that [CLEAVE] (e.g. [CLEAVE 1] becomes [CLEAVE 2])."
