Unit_ID,Weapon_ID,Size_Label,Quantity
BOYZ,SLUGGA,x10,9
BOYZ,SLUGGA,x20,18
BOYZ,CHOPPA,x10,9
BOYZ,CHOPPA,x20,18
BOYZ,SHOOTA,x10,6
BOYZ,SHOOTA,x20,12
BOYZ,BIG_SHOOTA,x10,1
BOYZ,BIG_SHOOTA,x20,2
BOYZ,BURNA,x10,1
BOYZ,BURNA,x20,2
BOYZ,ROKKIT_LAUNCHA_BLASTA,x10,1
BOYZ,ROKKIT_LAUNCHA_BLASTA,x20,2
BOYZ,ROKKIT_LAUNCHA_BUSTA,x10,1
BOYZ,ROKKIT_LAUNCHA_BUSTA,x20,2
BOYZ,KOMBI_SKORCHA_SHOOTA,x10,1
BOYZ,KOMBI_SKORCHA_SHOOTA,x20,2
BOYZ,KOMBI_SKORCHA_SKORCHA,x10,1
BOYZ,KOMBI_SKORCHA_SKORCHA,x20,2
BOYZ,KOMBI_ROKKIT_SHOOTA,x10,1
BOYZ,KOMBI_ROKKIT_SHOOTA,x20,2
BOYZ,KOMBI_ROKKIT_BUSTA,x10,1
BOYZ,KOMBI_ROKKIT_BUSTA,x20,2
BOYZ,KUSTOM_SHOOTA,x10,1
BOYZ,KUSTOM_SHOOTA,x20,2
BOYZ,KUSTOM_CHOPPA,x10,1
BOYZ,KUSTOM_CHOPPA,x20,2
BOYZ,POWER_KLAW,x10,1
BOYZ,POWER_KLAW,x20,2
BOYZ,BIG_CHOPPA,x10,1
BOYZ,BIG_CHOPPA,x20,2
NOBZ,KUSTOM_SHOOTA,x5,5
NOBZ,KUSTOM_SHOOTA,x10,10
NOBZ,KUSTOM_KRUMPA,x5,5
NOBZ,KUSTOM_KRUMPA,x10,10
NOBZ,KOMBI_ROKKIT_SHOOTA,x5,0
NOBZ,KOMBI_ROKKIT_SHOOTA,x10,0
NOBZ,KOMBI_ROKKIT_BUSTA,x5,0
NOBZ,KOMBI_ROKKIT_BUSTA,x10,0
NOBZ,BIG_SKORCHA,x5,0
NOBZ,BIG_SKORCHA,x10,0
NOBZ,KUSTOM_BIG_SHOOTA,x5,0
NOBZ,KUSTOM_BIG_SHOOTA,x10,0
NOBZ,KUSTOM_CHOPPA,x5,0
NOBZ,KUSTOM_CHOPPA,x10,0
NOBZ,BIG_CHOPPA,x5,0
NOBZ,BIG_CHOPPA,x10,0
