Loadout_Option_ID,Required_Group_ID,Compatible_Option_ID,Rule_Order,Option_Order
BOYZ__NOB_MELEE__KUSTOM_CHOPPA,NOB_RANGED,KOMBI_SKORCHA,1,1
BOYZ__NOB_MELEE__KUSTOM_CHOPPA,NOB_RANGED,KOMBI_ROKKIT,1,2
BOYZ__NOB_MELEE__KUSTOM_CHOPPA,NOB_RANGED,KUSTOM_SHOOTA,1,3
BOYZ__NOB_MELEE__POWER_KLAW,NOB_RANGED,KOMBI_SKORCHA,1,1
BOYZ__NOB_MELEE__POWER_KLAW,NOB_RANGED,KOMBI_ROKKIT,1,2
BOYZ__NOB_MELEE__POWER_KLAW,NOB_RANGED,KUSTOM_SHOOTA,1,3
BOYZ__NOB_MELEE__BIG_CHOPPA,NOB_RANGED,NONE,1,1
MEGANOBZ__MELEE__POWER_KLAW,MEGANOBZ_RANGED,KOMBI_WEAPON,1,1
MEGANOBZ__MELEE__POWER_KLAW,MEGANOBZ_RANGED,KUSTOM_SHOOTA,1,2
MEGANOBZ__MELEE__KILLSAW,MEGANOBZ_RANGED,KOMBI_WEAPON,1,1
MEGANOBZ__MELEE__KILLSAW,MEGANOBZ_RANGED,KUSTOM_SHOOTA,1,2
MEGANOBZ__MELEE__TWIN_KILLSAWS,MEGANOBZ_RANGED,NONE,1,1
NOBZ__MELEE__KUSTOM_KRUMPA,NOBZ_SECOND,KUSTOM_SHOOTA,1,1
NOBZ__MELEE__KUSTOM_KRUMPA,NOBZ_SECOND,KOMBI_ROKKIT,1,2
NOBZ__MELEE__KUSTOM_KRUMPA,NOBZ_SECOND,PAIRED_KRUMPAS,1,3
NOBZ__MELEE__KUSTOM_CHOPPA,NOBZ_SECOND,BIG_SKORCHA,1,1
NOBZ__MELEE__KUSTOM_CHOPPA,NOBZ_SECOND,KUSTOM_BIG_SHOOTA,1,2
NOBZ__MELEE__BIG_CHOPPA,NOBZ_SECOND,NONE,1,1
WARBOSS__RANGED_WARBOSS__WARBOSS_KUSTOM_SHOOTA,MELEE_WARBOSS,WARBOSS_KUSTOM_CHOPPA,1,1
WARBOSS__RANGED_WARBOSS__WARBOSS_KUSTOM_SHOOTA,MELEE_WARBOSS,WARBOSS_POWER_KLAW,1,2
WARBOSS__RANGED_WARBOSS__WARBOSS_KOMBI_ROKKIT,MELEE_WARBOSS,WARBOSS_KUSTOM_CHOPPA,1,1
WARBOSS__RANGED_WARBOSS__WARBOSS_KOMBI_ROKKIT,MELEE_WARBOSS,WARBOSS_POWER_KLAW,1,2
WARBOSS__RANGED_WARBOSS__WARBOSS_KOMBI_SKORCHA,MELEE_WARBOSS,WARBOSS_KUSTOM_CHOPPA,1,1
WARBOSS__RANGED_WARBOSS__WARBOSS_KOMBI_SKORCHA,MELEE_WARBOSS,WARBOSS_POWER_KLAW,1,2
TRUKK__RANGED_TRUKK__TRUKK_DUAL_BIG_SHOOTA,SIDE_TRUKK,TRUKK_BUZZSAW,1,1
TRUKK__RANGED_TRUKK__TRUKK_DUAL_BIG_SHOOTA,SIDE_TRUKK,TRUKK_GRABBIN_KLAW,1,2
TRUKK__RANGED_TRUKK__TRUKK_ROKKIT_LAUNCHA,SIDE_TRUKK,TRUKK_BUZZSAW,1,1
TRUKK__RANGED_TRUKK__TRUKK_ROKKIT_LAUNCHA,SIDE_TRUKK,TRUKK_GRABBIN_KLAW,1,2
BIG_MEK__RANGED_BIG_MEK__BIG_MEK_KUSTOM_MEGA_BLASTA,MELEE_BIG_MEK,BIG_MEK_POWER_KLAW,1,1
BIG_MEK__RANGED_BIG_MEK__BIG_MEK_KUSTOM_MEGA_BLASTA,MELEE_BIG_MEK,BIG_MEK_DRILLA,1,2
BIG_MEK__RANGED_BIG_MEK__BIG_MEK_TRAKTOR_BLASTA,MELEE_BIG_MEK,BIG_MEK_POWER_KLAW,1,1
BIG_MEK__RANGED_BIG_MEK__BIG_MEK_TRAKTOR_BLASTA,MELEE_BIG_MEK,BIG_MEK_DRILLA,1,2
